"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"URBN 10000 mAh Li-Polymer Ultra Compact Power Bank with 12W Fast Charge (Camo)","B07X83RT1K","URBN","₹699.00","6,010","4,200,990.00",527,"₹247.59",1,4.0,14956,9,"1,974","n/a","Electronics","Standard-Oversize","FBA","3.5x5.9x1.1",0.35,"8/30/2019"
"Syska 20000 mAh Li-Polymer P2006J Power Core200 Power Bank (Black)","B07X1SRY9G","SYSKA","₹1,099.00",303,"332,997.00","2,108","₹369.13",1,3.7,4088,8,299,"n/a","Electronics","Standard-Oversize","FBA","4.6x8.5x1.4",0.99,"8/27/2019"
"Ambrane 15000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-150, Black)","B07MHMKSXZ","Ambrane","₹899.00","3,055","3,051,945.00",973,"₹311.31",2,4.1,8313,9,739,"n/a","Electronics","Standard-Oversize","FBA","4.0x5.8x1.1",0.79,"1/2/2019"
"URBN 20000 mAh 18W Super Fast Charging Power Bank with 18W Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (White)","B08HF45H22","URBN","₹1,199.00",650,"779,350.00","2,826","₹400.99",1,4.0,3054,8,389,"n/a","Electronics","Standard-Oversize","FBA","3.6x7.7x1.3",1.08,"9/3/2020"
"URBN 20000 mAh Metal 18W Super Fast Charging Power Bank with 18W Type C PD (Input& Output) and QC 3.0 Dual USB Output (Green)","B08WLNMWZL","URBN","₹1,099.00","1,285","1,412,215.00","1,091","₹380.93",1,3.9,939,8,295,"n/a","Electronics","Standard-Oversize","FBA","3.7x8.1x1.4",1.12,"2/15/2021"
"Ambrane 27000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-30 Pro, Black)","B083DX7PJF","Ambrane","₹1,799.00","2,702","4,860,898.00",943,"₹497.75",1,4.2,2849,7,592,"n/a","Electronics","Standard-Oversize","FBA","4.1x7.1x1.7",0.04,"1/2/2020"
"URBN 10000 mAh 22.5W Super Fast Charging Power Bank with 22.5W Type C PD (Input& Output) and QC 3.0 Dual USB Output with Free Type C Cable (Camo)","B08JVY8LGD","URBN","₹899.00","1,604","1,441,996.00","1,745","₹290.07",1,4.2,2038,11,436,"n/a","Electronics","Standard-Oversize","FBA","3.6x5.8x1.2",0.49,"12/16/2020"
"Ambrane 15000mAh Li-Polymer Powerbank with Type C and USB Ports | Fast Charging for Smartphones, Smart Watches, Neckbands & Other Devices (PP-150, Olive Green)","B07X2R1R2X","Ambrane","₹899.00",140,"139,860.00","2,411","₹340.81",1,4.1,8313,9,741,"n/a","Electronics","Standard-Oversize","FBA","3.9x8.3x1.4",0.93,"8/26/2019"
"($) Dudao High Capacity 3A Power Bank 10000 mAh with Built in Fast Charging Cables and Digital Power Display with Type C and Micro USB Compatible for iPhone and Android mobiles (White)","B088ZXJDPJ","DUDAO","₹1,490.00","n/a","n/a","3,659","₹433.30",1,3.9,33,"n/a",0,"n/a","Amazon Launchpad","Standard-Oversize","MFN","6.5x7.8x1.5",0.77,"5/21/2020"
"($) DUDAO Gold Plated Compact Dual Input Micro USB & Type C Power Bank, 10000 mAh Fast Charge Power Bank with Digital Display (Black)","B08L7KVYFV","DUDAO","₹1,497.00",5,"7,485.00","11,645","₹434.78",2,4.1,5,7,2,"n/a","Amazon Launchpad","Standard-Oversize","FBA","3.6x6.7x1.3",0.60,"10/15/2020"
"($) ROMOSS 10000mAh Mini Li-Polymer Power Bank External Battery Packs with Dual USB Output 2.1A LCD Display Perfect Carry for Travel, Compatible for iPhone X 10 8 Plus, Samsung Galaxy S8 and More(Black)","B07VXV73H5","Romoss","₹980.00",27,"26,460.00","70,157","₹307.27",1,4.2,17,7,1,"n/a","Electronics","Standard-Oversize","FBA","4.0x5.3x1.3",0.50,"8/1/2019"
"($) DUDAO Type-C 20000 mAh Li-Polymer High Capacity Power Bank with Fast Charging for iPhone, Android Mobiles and All Smartphones - White","B08J42VHCD","DUDAO","₹1,521.00","n/a","n/a","16,423","₹465.89",2,"n/a","n/a",7,0,"n/a","Amazon Launchpad","Standard-Oversize","FBA","5.0x8.0x1.4",1.06,"5/21/2020"
"($) ROMOSS 10000mAh Li-Polymer Power Bank, Sense 4 Mini Portable Charger with Dual Output, Small Size External Battery Pack Compact Slim Thin for iPhone 11/11 Pro / 11 Pro Max/XS/X, Samsung & More, White","B083FQYXLQ","Romoss","₹890.00",6,"5,340.00","158,777","₹193.64",1,3.7,10,6,0,"n/a","Electronics","Standard-Oversize","FBA","3.9x5.3x1.3",0.55,"1/2/2020"
"($) DUDAO Power Bank 10000mAh Dual Output and Input Port | Fast Charging Type-C and Micro USB Power Bank (White)","B08NW21QMC","DUDAO","₹799.00","n/a","n/a","19,013","n/a",1,5.0,1,"n/a",0,"n/a","Amazon Launchpad","n/a","FBA","n/a","n/a","11/19/2020"
