"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"($) BINDALS Copier Paper by Ashish Groups | A4 Size | 500 sheets | 70 GSM | Fine Quality (1 Ream)","B07VN4H2PV","BINDALS","₹193.00",101,"19,493.00",574,"₹216.46",7,4.0,42,3,17,"n/a","Office Products","Standard-Oversize","MFN","8.5x11.8x2.1",4.98,"7/22/2019"
"($) Florocent Paper - White spl maplitho 115 GSM -A4 (Pack of 100 sheets)","B08ZJFVKQP","Packsbazaar","₹121.00",17,"2,057.00","11,869","n/a",1,"n/a","n/a",2,0,"n/a","Office Products","n/a","MFN","n/a","n/a","3/19/2021"
"($) Bindal 5 Ream A4 Size Paper Ream Copier Bindal","B07MKKQ32N","Bindal","₹1,230.00",23,"28,290.00","8,274","n/a",3,3.5,8,2,0,"n/a","Office Products","n/a","MFN","n/a","n/a","12/25/2018"
"($) UD sales NR Copier 70 GSM 1 Reams Copier Paper Quality, A4 Size (White) - Pack of 500 Sheets","B08T7B852Z","UD sales","₹250.00",71,"17,750.00","1,829","n/a",4,3.8,24,4,11,"n/a","Office Products","n/a","MFN","n/a","n/a","1/16/2021"
"JK Copier 75 GSM A4 500 Sheets Copier Paper Box (5 Reams)","B075T89VYM","JK","₹1,350.00",220,"252,780.00",161,"₹510.85",29,4.2,1180,5,109,"n/a","Office Products","Standard-Oversize","FBA","12.1x25.4x8.7",27.21,"9/20/2017"
"Century Green 70 GSM 1 Reams Copier Paper Quality, A4 Size (White) - Pack of 500 Sheets","B07354P5X5","Century","₹168.00",84,"14,112.00",563,"₹214.10",24,3.8,232,2,29,"n/a","Office Products","Standard-Oversize","MFN","8.5x12.2x2.3",4.87,"6/23/2017"
"Copy Gold Copier Paper - A4, 75 GSM, 500 Sheets, 1 Ream, White","B08F46SSTK","Copy Gold","₹270.00",123,"33,210.00","1,105","₹208.39",4,4.6,46,3,12,"n/a","Office Products","Standard-Oversize","MFN","8.7x11.8x2.1",4.85,"8/1/2020"
"Infinity Papers Maska Paper Brilliant White Shade A4 Size High Strength Paper | 100 GSM High Glossy Instant Dry | Multipurpose Papers | 100 Sheets | Pack of 1","B0922X2VC6","INFINITY PAPERS","₹215.00",30,"6,450.00","7,605","n/a",1,3.8,9,3,3,"n/a","Office Products","n/a","MFN","n/a","n/a","4/8/2021"
"UD sales NR Copier 70 GSM 1 Reams Copier Paper Quality A4 Size (White) - Pack of 500 Sheets (1)","B094RJSNMF","UD sales","₹270.00",90,"24,300.00","7,563","₹208.39",3,3.5,23,4,12,"n/a","Office Products","Standard-Oversize","MFN","8.2x11.9x2.2",4.85,"1/16/2021"
"Maple Multi Purpose Copier Paper A4 70GSM 1 Ream (500 Sheets)","B07FQQ7LPJ","Maple","₹190.00",101,"19,190.00",914,"₹215.00",4,3.8,10,2,4,"n/a","Office Products","n/a","MFN","n/a",4.81,"7/19/2018"
