"Product Details";"ASIN";"Brand";"Price";"Sales";"Revenue";"BSR";"FBA Fees";"Active Sellers #";"Ratings";"Review Count";"Images";"Review velocity";"Buy Box";"Category";"Size Tier";"Delivery";"Dimensions";"Weight";"Creation Date"
"Navkar Crafts Full Finger Hard Knuckle Motorcycle Army Shooting Tactical Outdoor Breathable Gym & Fitness Riding Gloves for Boys & Men(Size:M, Black)";"B08V99J7LW";"Navkar Crafts";"₹599.00";20;"11,980.00";"26,079";"₹180.41";2;3.1;23;4;2;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"8.3x8.7x0.0";0.22;"1/28/2021"
"Cratos Stylish Half Finger Motorcycle Riding Gloves (Military Green, Medium) (armygreen)";"B07H3463YT";"Cratos";"₹339.00";625;"211,875.00";333;"₹177.08";5;3.8;912;2;80;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"7.9x8.7x2.0";0.29;"9/3/2018"
"FabSeasons Cycling, Riding, Mountain Bike, Full Finger Anti-Slip Gloves for Men and Women (Free Size, Green)";"B07YWZVY24";"FabSeasons";"₹499.00";79;"39,421.00";"2,958";"₹170.95";1;3.3;287;3;38;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"4.5x9.1x1.9";0.22;"10/9/2019"
"KeepCart Nylon Tactical Half Finger Gloves for Sports, Hiking, Cyclling, Travelling, Camping, Outdoor, Motorcycle Riding, Arm Shooting, Gym Gloves Fingerless Half Finger Men Women Work Outdoor Gloves";"B08WHV4VS6";"KeepCart";"₹387.00";317;"122,679.00";554;"₹157.54";1;4.2;141;8;32;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"5.5x7.9x1.3";0.20;"2/11/2021"
"Alexvyan Imported Long Strap Gym and Fitness Sports Protective Half Finger Hand Riding, Cycling, Bike Motorcycle Gloves for Men and Boy (Black and Blue, Universal)";"B07XQBPQRD";"Alexvyan";"₹399.00";"n/a";"n/a";"14,103";"n/a";1;3.0;4;"n/a";0;"n/a";"Car & Motorbike";"n/a";"FBA";"n/a";"n/a";"8/18/2019"
"Allextreme Probiker Protective Full Finger Gloves Anti-Skid Surface Breathable Bike Riding Glove for Motorcycle Cycling Climbing Mountaineering Hiking";"B093WNQQGJ";"Allextreme";"₹399.00";"n/a";"n/a";"3,446";"n/a";1;"n/a";"n/a";"n/a";0;"n/a";"Car & Motorbike";"n/a";"FBA";"n/a";"n/a";"4/30/2021"
"Rivoxx Probiker Synthetic Leather Motorcycle Gloves (Black, Medium)";"B08KGB92NF";"Rivoxx";"₹249.00";71;"17,679.00";898;"n/a";2;3.8;57;5;7;"n/a";"Car & Motorbike";"n/a";"MFN";"n/a";"n/a";"9/30/2020"
"Autokraftz Blue Probiker Full Racing, Riding, Motorcycle Riding Gloves (Xx Large, 1 Pair)";"B07MPZB8KC";"AutoKraftZ";"₹419.00";"n/a";"n/a";"92,034";"n/a";1;3.0;5;"n/a";0;"n/a";"Car & Motorbike";"n/a";"FBA";"n/a";"n/a";"1/7/2019"
"Probiker Leather Motorcycle Gloves (Blue, Large)";"B00OLO4ZSY";"Probiker";"₹348.00";112;"38,976.00";"3,961";"₹148.96";7;3.8;1109;4;32;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"5.2x8.4x2.2";0.35;"10/17/2014"
"NVD Nylon Tactical Half Finger Gloves for Sports, Hard Knuckle,Hiking,Cyclling,Travelling,Camping,Outdoor,Boxing, Motorcycle Riding, Arm Shooting Gym Gloves | Army Green Colour";"B08K4M613M";"NVD";"₹439.00";89;"39,071.00";"2,200";"₹162.91";1;3.9;199;9;24;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"5.8x7.9x0.7";0.20;"9/26/2020"
"ROYALDEALS - RD KTM Moto Biker Hand Gloves for Riding Bikes/Motorcycles/Cycles (Orange, Free Size)";"B08W5FSN7H";"ROYALDEALS - RD";"₹435.00";213;"92,655.00";615;"₹164.06";3;3.8;72;6;8;"n/a";"Car & Motorbike";"Standard-Oversize";"FBA";"5.2x9.4x2.1";0.26;"2/8/2021"
"Frackson 1 Pair Red Pirates Gloves Outdoor Gloves Protective Half Finger Hand Riding, Cycling, Bike Motorcycle Gym Gloves for Men Boy-1";"B095HDZMS5";"Frackson";"₹299.00";"n/a";"n/a";"12,956";"n/a";1;"n/a";"n/a";"n/a";0;"n/a";"Car & Motorbike";"n/a";"FBA";"n/a";"n/a";"5/19/2021"
"Navkar Crafts Full Finger Hard Knuckle Motorcycle Army Shooting Tactical Outdoor Breathable Gym & Fitness Riding Gloves for Men and Boys(Size:L,Green)";"B08V99CP4V";"Navkar Crafts";"₹699.00";1;699.00;"97,550";"₹193.98";1;3.0;3;4;0;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"3.1x3.9x0.0";0.22;"1/28/2021"
"($) KITTUU Cotton UV Protective Gloves for Men's and Women's Full Hand Arm Sleeves From Sun Burn/Heat/Pollution I Full Hand Biking & Driving Dust & Sun Protection Gloves - (1 Pair - Blue, Free Size)";"B096CKX9YK";"KITTUU";"₹209.00";51;"10,659.00";"13,042";"₹142.97";1;"n/a";"n/a";5;0;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"3.1x3.9x1.6";0.44;"6/1/2021"
"($) Breathable Road Bike Bar Tape, 2 Roll Bicycle Handlebar Tape, Sweat-Absorbent Cycling Accessory for Cyclist Riding(Black red)";"B08HMGLRHT";"Jarchii";"₹2,419.00";"n/a";"n/a";"n/a";"n/a";1;"n/a";"n/a";"n/a";0;"n/a";"Car & Motorbike";"n/a";"MFN";"n/a";"n/a";"9/8/2020"
"($) VIJEGO Tactical Gloves Military Hiking Mountain Motorcycle Biking Camping Gloves Fingerless Half Finger Men Women Work Outdoor Gloves(Green, XL)";"B08YWX8SF5";"VIJEGO";"₹499.00";71;"35,429.00";"5,768";"n/a";1;3.9;38;8;7;"n/a";"Car & Motorbike";"Standard-Oversize";"MFN";"2.0x3.1x0.8";0.95;"3/13/2021"
