"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"GOCART WITH G LOGO Jump Rope, Tangle-Free Rapid Speed Jumping Rope Cable with Ball Bearings for Women, Men, and Kids, Adjustable Steel Skipping Rope with Foam Handles for Gym Fitness, Home Exercise","B08RXW8BHV","GOCART WITH G LOGO","₹299.00",503,"150,397.00","1,518","₹145.60",1,3.9,124,7,25,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.1x7.2x1.5",0.09,"1/3/2021"
"Henco Jumping Skipping Rope, Jumping Trainer Adjustable Size","B079TP19NP","HENCO","₹183.00",693,"126,819.00",214,"₹130.35",3,4.1,675,1,78,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.0x6.0x1.2",0.37,"2/14/2018"
"ABB INITIO Adjustable Slim Shape Weight Loss Ball Pencil Speed Skipping Rope","B07P655YSJ","ABB INITIO GYM","₹129.00",495,"63,855.00",452,"₹124.62",3,4.1,360,2,40,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.9x7.7x1.8",0.24,"2/28/2019"
"TEMPEST Blue Skipping Rope for Men, Women, Weight Loss, Kids, Girls, Children, Adult - Best in Fitness, Sports, Exercise, Workout","B08V6Q8J44","Tempest","₹159.00",429,"68,211.00",761,"₹127.81",1,4.0,74,3,39,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.9x7.9x1.6",0.33,"1/27/2021"
"Generic Smash Enterpises Thick Cotton Skipping Rope for Women,Girls,Boys (Pack of 1), White (GHAJSKAJM9)","B08GN35BVV","Generic","₹85.00",256,"21,760.00",430,"₹118.77",9,3.5,83,3,16,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","MFN","5.6x7.9x1.3",0.29,"8/24/2020"
"VIFITKIT Jump Rope Adjustable Digital Counting Jump Rope for Kids Women Men Skipping Ropes for Boxing Training Weight Loss Exercise Workout (Assorted Colour)","B08TWXGZ5R","VIFITKIT","₹289.00",666,"192,474.00",806,"₹144.24",1,3.6,477,8,56,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","2.4x3.9x2.0",0.44,"1/25/2021"
"TEMPEST Yellow Skipping-Rope Jump Skipping Rope for Men, Women, Weight Loss, Kids, Girls, Children, Adult - Best in Fitness, Sports, Exercise, Workout","B08V6KHNR6","Tempest","₹159.00",110,"17,490.00",992,"₹127.81",1,4.3,6,3,2,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.9x7.9x1.6",0.33,"1/27/2021"
"NICTOR Fitness Jumping Adjustable Skipping Rope Gym Training Exercise and Workout for Mem & Women","B08KS7N7XH","NICTOR","₹210.00",793,"166,530.00",339,"n/a",1,4.2,423,9,74,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","10/5/2020"
"Lordz Adjustable Skipping Rope Tangle-Free with Ball Bearings Rapid Speed Jump Rope Cable and Memory Foam Handles Ideal for Aerobic Exercise Like Speed Training, Endurance Training and Fitness Gym","B08GHHNHTT","Lordz","₹225.00",772,"173,700.00",175,"n/a",1,4.0,1196,7,114,"n/a","Sports, Fitness & Outdoors","n/a","FBA","4.3x6.7x1.6","n/a","9/2/2020"
"Sportif Skipping Rope with Length Adjustable for Kids, Girls, Women, Men for Exercise, Workout, Training and Weight Loss","B08DY7YYX3","Sportif","₹180.00",465,"83,700.00",554,"n/a",1,3.7,191,2,28,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","7/30/2020"
"AmazonBasics Plastic Speed Jump Rope, Black","B07T9L6JX1","AmazonBasics","₹299.00",109,"32,591.00",558,"₹123.78",1,3.9,752,6,85,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","6.7x8.7x1.2",0.20,"11/29/2019"
"masira skipping rope in cotton and wood handle for man woman","B097BFK9QD","Generic","₹151.00","n/a","n/a","10,118","n/a",2,"n/a","n/a","n/a",0,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","6/16/2021"
"($) AmazonBasics Standard Jump Rope, Grey","B07TCNBG5Y","AmazonBasics","₹299.00",69,"20,631.00",35,"₹133.80",1,4.4,1621,6,328,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","6.8x8.7x1.8",0.44,"11/29/2019"
"($) INCHDOWN® Skipping Rope for Men, Women & Kids (Hand Grip + Skipping Rope)","B098Q7YQMC","INCHDOWN","₹699.00",9,"6,291.00","11,085","₹192.80",1,"n/a","n/a",1,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.5x7.5x2.0",0.66,"7/6/2021"
"($) Burnlab Weighted Skipping Rope","B07XXRH4QL","Burnlab","₹1,043.00",64,"55,808.00","9,770","₹276.45",2,4.0,60,5,1,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","8.9x11.9x2.5",2.18,"9/15/2019"
