"Product Details","ASIN","Brand","Price","Sales","Revenue","BSR","FBA Fees","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Delivery","Dimensions","Weight","Creation Date"
"SLOVIC Resistance Band/Pull Up Band/Resistance Bands 42 Inch with Door Anchor for Calisthenics with Physical Booklet with 30 Exercises.","B07KTXLQYF","SLOVIC","₹749.00","1,338","935,262.00",98,"₹173.35",1,4.3,2024,6,197,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.2x11.5x1.7",0.62,"11/22/2018"
"Nivia Lateral Resistance Band and Tubes 2.0","B07KK8Q8YK","Nivia","₹100.00",921,"92,100.00",229,"₹120.36",3,3.8,644,8,71,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","2.8x5.6x1.0",0.02,"11/15/2018"
"Bulfyss Resistance Tube Exercise Bands for Stretching, Workout, and Toning for Men, and Women with Additional Door Anchor (30-35 lbs) - Random Colour","B08WH6XNNK","Bulfyss","₹399.00",581,"231,819.00",966,"₹159.16",1,4.0,362,6,149,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.1x5.9x3.9",0.37,"2/11/2021"
"Strauss Latex Band, (Set of 5)","B07TLVRKKH","STRAUSS","₹499.00","1,253","625,247.00",211,"₹171.56",2,4.0,818,7,80,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.0x8.3x1.2",0.33,"6/27/2019"
"SLOVIC Resistance Band/Resistance Tube with Sturdy Handles, Door Anchor for Men and Women with Extensive Guide Containing 30 Plus Exercises. (Black 50 LBS)","B08FC5HBV9","SLOVIC","₹499.00",990,"494,010.00",973,"n/a",1,3.8,300,7,"-1,105","n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.7x15.8x2.4",1.06,"3/22/2020"
"Boldfit Resistance Bands Mini Loop (Set of 5) Perfect for Toning & Home Workout.(Carry Bag Included)","B08C7S9RNY","Boldfit","₹696.35","1,603","1,116,249.05",64,"₹202.57",2,4.3,549,7,106,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","3.9x9.7x3.9",0.37,"7/1/2020"
"AmazonBasics Resistance and Pull up Band for Chin Ups, Pull Ups and Stretching","B01FN7XCZ4","AmazonBasics","₹759.00","1,078","818,202.00",243,"₹232.80",1,4.2,6895,8,242,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.6x9.3x1.8",0.66,"11/10/2018"
"Arrowmax Workout Bands for Women Legs and Butt Resistance Loop Bands Set of 5 for Home Fitness, Stretching, Strength Training, Physical Therapy, Pilates Flexbands, Natural Latex Exercise Bands","B08FJH6YP5","ArrowMax","₹445.00",332,"141,100.00","1,008","n/a",1,4.3,124,5,19,"n/a","Sports, Fitness & Outdoors","n/a","MFN","3.5x7.1x1.6","n/a","8/10/2020"
"Boldfit Fabric Resistance Band - Loop Hip Band for Women & Men for Hip, Legs, Stretching, Toning Workout. Mini Loop Booty Bands for Glutes, Squats Exercise Usable in-Home & Gym.","B092ZYH51N","Boldfit","₹898.70","1,061","953,520.70",82,"₹225.24",2,4.8,56,7,11,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.0x9.6x3.9",0.97,"4/19/2021"
"Fashnex Resistance Bands Set for Strength Training, Mobility, Toning. Tubes with Foam Handles, Door Anchor, Ankle Straps, Carry Bag for Men/Women (Resistance Band Set of 5 Tubes)","B08VNNQW76","FASHNEX","₹675.00",757,"510,975.00",439,"₹170.81",1,4.0,899,5,117,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.5x7.9x2.0",0.86,"12/9/2020"
"KAJATI® Double Toning Resistance Tube Heavy Quality Exercise Band for Stretching, Full Body Workout, Home Gym and Toning for Men and Women","B08NK3YL8B","KAJATI","₹379.00",907,"343,753.00",289,"n/a",1,4.0,871,7,235,"n/a","Sports, Fitness & Outdoors","n/a","FBA","3.9x4.7x2.0","n/a","11/14/2020"
"FITSY® Resistance Toning Tube + Door Anchor + Carry Pouch + Workout Chart","B07W9D6MLJ","Fitsy","₹649.00","1,710","1,109,790.00",127,"₹198.72",2,4.2,2561,7,274,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.6x9.2x2.3",0.55,"12/15/2019"
"Trezop 11 Pieces Resistance Band Set with Handles, Portable Toning Tubes with Door Anchor. Bag and Ankle Straps Included","B08V1QKZ1Q","TREZOP","₹649.00",394,"255,706.00",631,"₹198.72",1,3.6,108,8,18,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","7.6x8.2x2.9",1.06,"1/26/2021"
"($) EAYIRA Resistance Band, Exercise Tube - with Door Anchor, for Resistance Training, Physical Therapy, Home Workouts, Boxing Training for Men and Women","B098B76KPD","EAYIRA","₹699.00",18,"12,582.00","7,603","n/a",1,3.7,21,6,0,"n/a","Sports, Fitness & Outdoors","n/a","FBA","n/a","n/a","6/30/2021"
"($) Boldfit Resistance Band Set with Handles, Portable Toning Tubes with Door Anchor & Foam Handles. Resistance Tube Kit with Bag and Ankle Straps Included.","B0978NCZNC","Boldfit","₹2,007.00",61,"122,427.00","9,037","₹348.84",2,4.6,8,6,0,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","5.9x7.1x5.4",1.57,"6/14/2021"
"($) YISSVIC Resistance Band for Workout 35-85LBS Pull Up Band with Door Anchor Carry Pouch for Men Women Exercise Heavy Weight - Black, 2080x32x4.5mm","B08FYHY4QX","YISSVIC","₹799.00",24,"19,176.00","10,655","₹207.55",1,4.0,47,9,4,"n/a","Sports, Fitness & Outdoors","Standard-Oversize","FBA","4.0x11.4x2.1",0.71,"8/15/2020"
